"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3KCNiDi9Pza6ZD8FggNoaw","MODERN JAM (feat. Teezo Touchdown)","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY, spotify:artist:0fGcIStdT1OpFFhOC7Wp36","Travis Scott, Teezo Touchdown","spotify:album:18NOKLkZETa4sWwLMIm0UZ","UTOPIA","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","2023-07-28","https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44","1","3","255412","https://p.scdn.co/mp3-preview/a34601f7a5eba338862fc7673467712e6f002ba5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USSM12305006","spotify:user:zh5yvrwb21onyg9h07jxnoab5","2023-11-12T08:02:15Z"
"spotify:track:2zXkELHmggcgtoHUspOSFC","Sticky Rice","spotify:artist:3EIX8WuD9ybB4ruz0MSilB, spotify:artist:5SyGEPymt1G2uto47tVWvZ, spotify:artist:4OYIkXBBN6ET96coWyWAXh","Lil Gnar, MadeinTYO, Germ","spotify:album:0vMCt6vOK6MChHOnMGo6it","Sticky Rice","spotify:artist:3EIX8WuD9ybB4ruz0MSilB, spotify:artist:5SyGEPymt1G2uto47tVWvZ","Lil Gnar, MadeinTYO","2018-06-05","https://i.scdn.co/image/ab67616d0000b2738017a31cfa0b2072f3d1660c","1","1","205033","https://p.scdn.co/mp3-preview/66a2c357f541aeb506934881f03c88ccd9fa0006?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","USJ3V2163145","spotify:user:zh5yvrwb21onyg9h07jxnoab5","2023-11-12T08:02:15Z"
"spotify:track:2SrXt0JJEX9PfVSZuJ6dqg","Basketball (feat. Jermaine Dupri, Fabolous & Fundisha)","spotify:artist:7352aRY2mqSxBZwzUb6LmA, spotify:artist:6nfYGe7IIuuP5bMY1jkJP6, spotify:artist:0YWxKQj2Go9CGHCp77UOyy, spotify:artist:6rh2u7ghM7Dw1HnGmuBeSL","Bow Wow, Jermaine Dupri, Fabolous, Fundisha","spotify:album:2qrNcWEKMqCK9fi5DOmWc4","Music From The Motion Picture Like Mike","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2002-06-04","https://i.scdn.co/image/ab67616d0000b27306eab980fe7795f4e781cd72","1","1","198373","https://p.scdn.co/mp3-preview/8cb2a6bfcc5fa8dc6bffed6b198231786f422d61?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USSM10208933","spotify:user:zh5yvrwb21onyg9h07jxnoab5","2023-11-12T08:02:15Z"
"spotify:track:0NWVY7dD1FSl12v9WHBCeb","BRAND NEW","spotify:artist:79TnwjflPC7KqP9O4pXpDQ, spotify:artist:3Hxle1ifo8pdsakQ06MMUH","YSB Tril, Kill Jasper","spotify:album:75HR4FQ38boHANuFEGh0Hm","STARSTRUCK 2","spotify:artist:79TnwjflPC7KqP9O4pXpDQ","YSB Tril","2022-03-25","https://i.scdn.co/image/ab67616d0000b2735e90894ab7816c864434631f","1","2","192000","https://p.scdn.co/mp3-preview/02b237c02d0be6c05dd9e81ebaa3c0a183d05621?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","USLD91734862","spotify:user:zh5yvrwb21onyg9h07jxnoab5","2023-11-12T08:02:15Z"
"spotify:track:5WoaF1B5XIEnWfmb5NZikf","Sky Walker (feat. Travis Scott)","spotify:artist:360IAlyVv4PCEVjgyMZrxK, spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Miguel, Travis Scott","spotify:album:05LEST8E8mkEIl2LRfUkcI","War & Leisure","spotify:artist:360IAlyVv4PCEVjgyMZrxK","Miguel","2017-12-01","https://i.scdn.co/image/ab67616d0000b2735e9dff10c31ac14c6c6c920d","1","3","259333","https://p.scdn.co/mp3-preview/c95b541168b5a8cb39c2d648060cee74cd68db7c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","USRC11701703","spotify:user:zh5yvrwb21onyg9h07jxnoab5","2023-11-12T08:02:15Z"
"spotify:track:3ZhTT6yjZwpPph5MIJ53XY","Red Roses (feat. Landon Cube)","spotify:artist:7d3WFRME3vBY2cgoP38RDo, spotify:artist:04ei5kNgmDuNAydFhhIHnD","Lil Skies, Landon Cube","spotify:album:0CuYNS755Ow710G2E7aLDE","Life of a Dark Rose","spotify:artist:7d3WFRME3vBY2cgoP38RDo","Lil Skies","2017-12-12","https://i.scdn.co/image/ab67616d0000b273c56dcd1015c1ffb8c56d2988","1","3","262544","https://p.scdn.co/mp3-preview/8fe2560ceb442de448608cceef1cafe5c880622c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","USAT21704162","spotify:user:zh5yvrwb21onyg9h07jxnoab5","2023-11-12T08:02:15Z"
"spotify:track:4gh0ZnHzaTMT1sDga7Ek0N","sdp interlude","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","spotify:album:42WVQWuf1teDysXiOupIZt","Birds In The Trap Sing McKnight","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","2016-09-16","https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce","1","6","191622","https://p.scdn.co/mp3-preview/9dd2092505a3fec72bf3485e9d688ef1e1ee5e11?cid=9950ac751e34487dbbe027c4fd7f8e99","true","83","USSM11607552","spotify:user:zh5yvrwb21onyg9h07jxnoab5","2023-11-12T08:02:15Z"
"spotify:track:3cRJJrseMqnpMolWPIXT44","Technically","spotify:artist:0fGcIStdT1OpFFhOC7Wp36","Teezo Touchdown","spotify:album:5AcRrIngUbjU5OGTvwPx3T","Technically","spotify:artist:0fGcIStdT1OpFFhOC7Wp36","Teezo Touchdown","2021-02-10","https://i.scdn.co/image/ab67616d0000b273a4bce211322a5c162ab05ce4","1","1","145873","https://p.scdn.co/mp3-preview/6a193b64392c90753df02e2b80f0c06f24c296ac?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","USRC12100053","spotify:user:zh5yvrwb21onyg9h07jxnoab5","2023-11-12T08:02:15Z"
"spotify:track:7culXP38P58h83PXwLQqyg","Home To Another One","spotify:artist:2kRfqPViCqYdSGhYSM9R0Q","Madison Beer","spotify:album:6T4kLqRny6Fe3CgOP6ahbt","Home To Another One","spotify:artist:2kRfqPViCqYdSGhYSM9R0Q","Madison Beer","2023-06-02","https://i.scdn.co/image/ab67616d0000b273e025532cdd247f4981373af9","1","1","149108","https://p.scdn.co/mp3-preview/e72b45abd1df2b97db4e16dac554b72ef7b60df2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USSM12302101","spotify:user:zh5yvrwb21onyg9h07jxnoab5","2023-11-12T08:02:15Z"
"spotify:track:6rPjqbbTziInbIzkpRZXio","Light Blue","spotify:artist:04ei5kNgmDuNAydFhhIHnD, spotify:artist:5CXdWANGwYYRPClH6hhC0P","Landon Cube, Kid Bloom","spotify:album:2SYGbv2RKvUtgSrwWAKKNj","Sapphire","spotify:artist:04ei5kNgmDuNAydFhhIHnD","Landon Cube","2020-12-04","https://i.scdn.co/image/ab67616d0000b27338438326bc47adbdece63a43","1","4","150260","https://p.scdn.co/mp3-preview/643ed1da6dc125dbcc149e8355145c875c2b0393?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","USUM72022601","spotify:user:zh5yvrwb21onyg9h07jxnoab5","2023-11-12T08:02:15Z"
